 ,TAKEAWAY,GIVEAWAY, ,
RK,TEAM,INT,FUM,TOTAL,INT,FUM,TOTAL,DIFF,
1,Chicago,21,9,30,11,7,18,12,
2,LA Rams,11,11,22,7,4,11,11,
 ,Seattle,12,8,20,5,4,9,11,
4,Cleveland,14,13,27,13,4,17,10,
5,New Orleans,10,9,19,3,7,10,9,
 ,Washington,12,10,22,9,4,13,9,
7,Denver,13,8,21,10,3,13,8,
 ,Miami,19,6,25,10,7,17,8,
 ,Houston,12,10,22,9,5,14,8,
10,Kansas City,11,9,20,10,4,14,6,
 ,New England,14,6,20,8,6,14,6,
12,LA Chargers,12,3,15,6,4,10,5,
13,NY Giants,12,4,16,8,5,13,3,
14,Dallas,8,6,14,5,7,12,2,
 ,Indianapolis,11,10,21,12,7,19,2,
16,Minnesota,11,8,19,9,9,18,1,
 ,Carolina,11,5,16,11,4,15,1,
18,Green Bay,6,6,12,2,10,12,0,
19,Cincinnati,11,4,15,12,4,16,-1,
20,Atlanta,9,2,11,5,8,13,-2,
21,Tennessee,7,3,10,9,5,14,-4,
22,Oakland,9,3,12,8,9,17,-5,
23,Detroit,5,7,12,12,6,18,-6,
 ,Baltimore,5,4,9,9,6,15,-6,
25,Buffalo,11,7,18,18,7,25,-7,
26,NY Jets,11,5,16,18,6,24,-8,
 ,Philadelphia,6,3,9,8,9,17,-8,
 ,Pittsburgh,6,6,12,13,7,20,-8,
29,Arizona,6,7,13,15,7,22,-9,
30,Jacksonville,9,4,13,11,12,23,-10,
31,Tampa Bay,7,5,12,23,7,30,-18,
32,San Francisco,2,3,5,15,10,25,-20,
