 ,FIELD GOALS,EXTRA POINTS,
RK,TEAM,FGM,FGA,PCT,LNG,1-19,20-29,30-39,40-49,50+,XPM,XPA,PCT,
1,Houston,29,34,85.3,54,1-1,7-7,9-9,9-12,3-5,29,30,96.7,
2,NY Jets,28,30,93.3,56,0-0,2-2,12-13,8-8,6-7,21,22,95.5,
3,LA Rams,26,31,83.9,56,1-1,9-10,11-11,3-6,2-3,39,41,95.1,
 ,NY Giants,26,27,96.3,57,0-0,7-7,11-11,4-4,4-5,21,21,100.0,
5,Baltimore,25,27,92.6,56,0-0,8-8,5-5,8-10,4-4,28,29,96.6,
6,Dallas,24,28,85.7,55,0-0,7-7,6-7,7-9,4-5,23,24,95.8,
7,Detroit,23,26,88.5,54,0-0,8-8,11-11,1-2,3-5,23,23,100.0,
 ,New Orleans,23,24,95.8,54,1-1,4-4,7-7,9-10,2-2,44,45,97.8,
 ,San Francisco,23,24,95.8,53,0-0,6-6,8-8,7-8,2-2,20,22,90.9,
10,Green Bay,22,29,75.9,53,0-0,3-3,9-10,6-10,4-6,27,29,93.1,
 ,New England,22,26,84.6,52,0-0,9-9,7-7,4-5,2-5,37,37,100.0,
12,Tennessee,21,24,87.5,54,0-0,4-5,10-10,4-5,3-4,20,21,95.2,
13,Atlanta,20,20,100.0,57,0-0,4-4,2-2,8-8,6-6,28,29,96.6,
 ,Oakland,20,25,80.0,52,0-0,7-7,3-3,8-11,2-4,20,21,95.2,
 ,Washington,20,23,87.0,56,0-0,5-5,5-5,7-9,3-4,23,24,95.8,
16,Chicago,19,24,79.2,50,0-0,5-5,5-6,8-11,1-2,35,37,94.6,
 ,Kansas City,19,20,95.0,50,0-0,7-7,5-5,6-6,1-2,51,55,92.7,
 ,Philadelphia,19,23,82.6,56,0-0,6-6,7-8,5-6,1-3,23,23,100.0,
 ,LA Chargers,19,24,79.2,49,0-0,8-8,4-4,7-10,0-2,27,34,79.4,
 ,Jacksonville,19,21,90.5,57,0-0,4-4,8-8,3-4,4-5,18,19,94.7,
21,Buffalo,17,19,89.5,54,0-0,2-2,5-5,6-6,4-6,15,16,93.8,
 ,Indianapolis,17,21,81.0,54,0-0,6-6,6-7,3-4,2-4,32,34,94.1,
 ,Minnesota,17,26,65.4,52,0-0,3-4,9-10,4-10,1-2,26,27,96.3,
24,Denver,16,20,80.0,53,0-0,3-3,6-6,5-5,2-6,30,30,100.0,
 ,Miami,16,17,94.1,50,0-0,5-5,3-3,7-8,1-1,26,27,96.3,
 ,Seattle,16,20,80.0,56,0-0,1-1,6-7,6-7,3-5,37,39,94.9,
27,Tampa Bay,14,18,77.8,59,0-0,3-3,9-10,1-4,1-1,34,38,89.5,
 ,Carolina,14,16,87.5,63,0-0,3-3,4-5,4-4,3-4,30,33,90.9,
29,Cleveland,13,18,72.2,51,0-0,4-4,6-6,2-5,1-3,19,23,82.6,
30,Cincinnati,10,14,71.4,51,0-0,2-2,4-5,3-3,1-4,34,36,94.4,
 ,Pittsburgh,10,14,71.4,50,0-0,3-3,3-3,3-7,1-1,36,41,87.8,
32,Arizona,7,10,70.0,44,0-0,2-2,2-2,3-5,0-1,20,20,100.0,
