RK,TEAM,ATT,COMP,PCT,YDS,YDS/A,LONG,TD,INT,SACK,YDSL,RATE,YDS/G,
1,Tampa Bay,479,321,67.0,4134,9.0,75,29,23,32,173,95.6,345,
2,Pittsburgh,522,344,65.9,3848,7.6,97,27,13,17,118,95.5,321,
3,Kansas City,429,287,66.9,3798,9.1,75,41,10,20,125,118.1,317,
4,LA Rams,416,276,66.3,3606,9.1,70,27,7,26,160,109.7,301,
5,Atlanta,468,331,70.7,3583,8.2,75,25,5,36,251,108.5,299,
6,Green Bay,471,290,61.6,3299,7.6,75,21,2,37,260,98.0,275,
7,Minnesota,491,350,71.3,3298,7.1,75,23,9,30,192,99.1,275,
8,LA Chargers,384,266,69.3,3291,8.9,75,28,6,22,135,114.8,274,
9,New England,437,289,66.1,3281,7.8,55,20,8,16,111,97.2,273,
10,Indianapolis,494,334,67.6,3252,6.8,68,32,12,14,110,98.3,271,
11,New Orleans,391,293,74.9,3230,8.5,72,30,3,13,96,122.4,269,
12,Philadelphia,452,312,69.0,3090,7.3,58,19,8,34,222,96.8,258,
13,NY Giants,438,298,68.0,3052,7.7,58,17,8,41,317,96.2,254,
14,Baltimore,461,281,61.0,2934,6.6,74,14,9,23,113,82.4,245,
15,Oakland,425,293,68.9,2899,7.3,66,16,8,39,221,94.8,242,
16,Cleveland,440,266,60.5,2877,7.1,71,20,13,35,235,84.8,240,
17,Detroit,446,294,65.9,2863,7.0,67,18,12,36,237,88.2,239,
18,Cincinnati,439,274,62.4,2836,6.9,49,23,12,26,205,89.0,236,
19,Chicago,399,265,66.4,2834,7.5,70,24,11,28,159,97.2,236,
20,Carolina,403,279,69.2,2832,7.5,82,24,11,24,180,99.4,236,
21,San Francisco,399,246,61.7,2809,7.8,82,20,15,38,308,87.1,234,
22,Houston,365,242,66.3,2799,8.3,73,21,9,41,232,100.8,233,
23,Denver,413,258,62.5,2798,7.2,64,15,10,28,195,86.4,233,
24,Jacksonville,424,263,62.0,2687,6.8,80,14,11,34,195,82.3,224,
25,Washington,403,252,62.5,2482,6.6,53,13,9,30,170,83.1,207,
26,Seattle,326,217,66.6,2453,8.3,66,29,5,37,263,115.5,204,
27,Dallas,365,243,66.6,2403,7.3,90,14,5,45,272,95.2,200,
28,Miami,358,233,65.1,2393,7.4,75,21,10,31,247,95.0,199,
29,Tennessee,338,227,67.2,2370,7.8,66,14,9,42,253,93.1,198,
30,NY Jets,398,219,55.0,2309,6.2,76,12,18,28,164,65.0,192,
31,Buffalo,369,203,55.0,1975,6.0,75,8,18,36,256,60.0,165,
32,Arizona,353,198,56.1,1840,5.9,75,12,15,32,230,66.9,153,
